review_id,product,star_rating,review_date,review_text
28,Desk Lamp,4,2026-01-01,"Excellent product, would buy again without hesitation. This is the best purchase I've made this year."
187,Wireless Earbuds,3,2026-01-02,"Not bad, not great either. It works."
10,Yoga Mat,5,2026-01-06,"Works perfectly and looks amazing too. Fantastic value, I'm very happy with this."
239,Yoga Mat,2,2026-01-06,"The product arrived defective and customer service was unhelpful. Cheap materials, feels flimsy and uncomfortable."
176,Desk Lamp,5,2026-01-07,"Not bad, not great either. It works."
87,Water Bottle,5,2026-01-08,"Really impressed with the build quality, feels sturdy and reliable. This is the best purchase I've made this year."
63,Bluetooth Speaker,5,2026-01-09,"Fantastic value, I'm very happy with this."
142,Wireless Earbuds,4,2026-01-11,"Works perfectly and looks amazing too. Absolutely love this product, exceeded my expectations!"
73,Water Bottle,5,2026-01-11,Works perfectly and looks amazing too.
147,Running Shoes,1,2026-01-12,"Poor design, difficult to use and overpriced. Stopped working after a week, very frustrating."
126,Backpack,5,2026-01-14,"Great quality and fast shipping, highly recommend."
56,Coffee Maker,4,2026-01-14,"It's okay, does what it says but nothing special."
101,Wireless Earbuds,5,2026-01-15,"Really impressed with the build quality, feels sturdy and reliable."
136,Running Shoes,4,2026-01-15,"Average product, some pros and some cons."
7,Coffee Maker,4,2026-01-16,"Great quality and fast shipping, highly recommend."
88,Running Shoes,5,2026-01-18,"Absolutely love this product, exceeded my expectations!"
4,Desk Lamp,4,2026-01-18,"Absolutely love this product, exceeded my expectations!"
238,Water Bottle,5,2026-01-20,"Fantastic value, I'm very happy with this."
148,Yoga Mat,5,2026-01-22,"Great quality and fast shipping, highly recommend."
112,Yoga Mat,4,2026-01-23,"Average product, some pros and some cons. Fantastic value, I'm very happy with this."
158,Running Shoes,5,2026-01-24,"Fantastic value, I'm very happy with this."
240,Running Shoes,2,2026-01-25,"Poor design, difficult to use and overpriced. Cheap materials, feels flimsy and uncomfortable."
114,Wireless Earbuds,4,2026-01-26,"Fairly standard product, met basic expectations. This is the best purchase I've made this year."
178,Backpack,5,2026-01-26,"Decent for the price, though I expected slightly more."
145,Coffee Maker,2,2026-01-26,"Not worth the price, I regret this purchase."
210,Backpack,5,2026-01-26,"Comfortable, easy to use, and worth every penny."
203,Desk Lamp,5,2026-01-27,Works perfectly and looks amazing too.
131,Backpack,5,2026-01-28,Works perfectly and looks amazing too.
247,Wireless Earbuds,5,2026-01-28,"Excellent product, would buy again without hesitation."
149,Desk Lamp,4,2026-01-29,"Decent for the price, though I expected slightly more. Excellent product, would buy again without hesitation."
86,Backpack,3,2026-01-29,It arrived on time and matches the description.
233,Water Bottle,5,2026-01-30,"Absolutely love this product, exceeded my expectations!"
60,Coffee Maker,5,2026-02-01,"Average product, some pros and some cons."
13,Desk Lamp,5,2026-02-01,"Excellent product, would buy again without hesitation."
